case_audit_id	pmid	pubmed_url	question	gold_label	agent_distribution	agent_majority	random_distribution	random_majority	audit_sampling_stratum	reviewer_id	case_audit_provenance	abstract_conclusion_support	evidence_type	linguistic_cue	agent_effect_category	label_ambiguity	context_sufficient_for_judgment	safe_manuscript_use	reviewer_confidence	reviewer_note
BMC-CASE-046	16538201	https://pubmed.ncbi.nlm.nih.gov/16538201/	Does use of hydrophilic guidewires significantly improve technical success rates of peripheral PTA?	maybe	yes:2/5,no:3/5,maybe:0/5	no	yes:5/5,no:0/5,maybe:0/5	yes	maybe_or_qualified_label_audit	supervisor_informed_standardized_20260507	User-reported supervisor-informed review followed by controlled-field standardization; not automated-only adjudication, not independent expert consensus, and not a new PubMedQA gold standard.	label_ambiguous	procedure_or_surgery	positive_association	maybe_unresolved	yes	yes	exclude	moderate	The abstract supports improved technical success, so the maybe label should not be used as a clean model-behavior example.
BMC-CASE-047	17076091	https://pubmed.ncbi.nlm.nih.gov/17076091/	Does obstructive sleep apnea affect aerobic fitness?	maybe	yes:2/5,no:3/5,maybe:0/5	no	yes:5/5,no:0/5,maybe:0/5	yes	maybe_or_qualified_label_audit	supervisor_informed_standardized_20260507	User-reported supervisor-informed review followed by controlled-field standardization; not automated-only adjudication, not independent expert consensus, and not a new PubMedQA gold standard.	genuinely_uncertain	observational_association	mixed_outcome	maybe_unresolved	no	yes	main_text	high	The conclusion is genuinely mixed: overall OSA did not reduce fitness, but more severe OSA did.
BMC-CASE-048	17279467	https://pubmed.ncbi.nlm.nih.gov/17279467/	Can bisphosphonate treatment be stopped in a growing child with skeletal fragility?	maybe	yes:5/5,no:0/5,maybe:0/5	yes	yes:5/5,no:0/5,maybe:0/5	yes	maybe_or_qualified_label_audit	supervisor_informed_standardized_20260507	User-reported supervisor-informed review followed by controlled-field standardization; not automated-only adjudication, not independent expert consensus, and not a new PubMedQA gold standard.	genuinely_uncertain	other	limitation_heavy	maybe_unresolved	no	uncertain	exclude	low	The case-level conclusion reopens the question rather than providing a stable yes or no answer.
BMC-CASE-049	17489316	https://pubmed.ncbi.nlm.nih.gov/17489316/	Is tumour expression of VEGF associated with venous invasion and survival in pT3 renal cell carcinoma?	maybe	yes:4/5,no:1/5,maybe:0/5	yes	yes:5/5,no:0/5,maybe:0/5	yes	maybe_or_qualified_label_audit	supervisor_informed_standardized_20260507	User-reported supervisor-informed review followed by controlled-field standardization; not automated-only adjudication, not independent expert consensus, and not a new PubMedQA gold standard.	genuinely_uncertain	diagnostic_or_biomarker	mixed_outcome	maybe_unresolved	no	yes	supplement_only	high	VEGF is not associated with venous invasion but is prognostic for survival.
BMC-CASE-050	19351635	https://pubmed.ncbi.nlm.nih.gov/19351635/	Do older patients receive adequate stroke care?	maybe	yes:3/5,no:1/5,maybe:1/5	yes	yes:4/5,no:1/5,maybe:0/5	yes	maybe_or_qualified_label_audit	supervisor_informed_standardized_20260507	User-reported supervisor-informed review followed by controlled-field standardization; not automated-only adjudication, not independent expert consensus, and not a new PubMedQA gold standard.	label_ambiguous	general_evidence	mixed_outcome	maybe_unresolved	yes	yes	supplement_only	moderate	The abstract suggests older patients receive less complete stroke care, making the maybe label difficult to use cleanly.
BMC-CASE-051	19578820	https://pubmed.ncbi.nlm.nih.gov/19578820/	Are opioid dependence and methadone maintenance treatment (MMT) documented in the medical record?	maybe	yes:2/5,no:3/5,maybe:0/5	no	yes:5/5,no:0/5,maybe:0/5	yes	maybe_or_qualified_label_audit	supervisor_informed_standardized_20260507	User-reported supervisor-informed review followed by controlled-field standardization; not automated-only adjudication, not independent expert consensus, and not a new PubMedQA gold standard.	genuinely_uncertain	general_evidence	mixed_outcome	maybe_unresolved	no	yes	supplement_only	high	Documentation occurs for the majority but is missing for a substantial minority.
BMC-CASE-052	20101129	https://pubmed.ncbi.nlm.nih.gov/20101129/	Is prophylactic fixation a cost-effective method to prevent a future contralateral fragility hip fracture?	maybe	yes:4/5,no:1/5,maybe:0/5	yes	yes:5/5,no:0/5,maybe:0/5	yes	maybe_or_qualified_label_audit	supervisor_informed_standardized_20260507	User-reported supervisor-informed review followed by controlled-field standardization; not automated-only adjudication, not independent expert consensus, and not a new PubMedQA gold standard.	genuinely_uncertain	intervention_or_comparative	mixed_outcome	maybe_unresolved	no	yes	supplement_only	high	Prophylactic fixation is not cost-effective on average but may be appropriate for selected populations.
BMC-CASE-053	20736672	https://pubmed.ncbi.nlm.nih.gov/20736672/	Does perspective-taking increase patient satisfaction in medical encounters?	maybe	yes:2/5,no:3/5,maybe:0/5	no	yes:5/5,no:0/5,maybe:0/5	yes	maybe_or_qualified_label_audit	supervisor_informed_standardized_20260507	User-reported supervisor-informed review followed by controlled-field standardization; not automated-only adjudication, not independent expert consensus, and not a new PubMedQA gold standard.	label_ambiguous	intervention_or_comparative	positive_association	maybe_unresolved	yes	yes	exclude	moderate	The abstract consistently supports increased patient satisfaction, so the maybe label requires human review before use.
BMC-CASE-054	25571931	https://pubmed.ncbi.nlm.nih.gov/25571931/	Do elderly patients call 911 when presented with clinical scenarios suggestive of acute stroke?	maybe	yes:3/5,no:2/5,maybe:0/5	yes	yes:5/5,no:0/5,maybe:0/5	yes	maybe_or_qualified_label_audit	supervisor_informed_standardized_20260507	User-reported supervisor-informed review followed by controlled-field standardization; not automated-only adjudication, not independent expert consensus, and not a new PubMedQA gold standard.	label_ambiguous	general_evidence	explicit_no_effect	maybe_unresolved	yes	yes	exclude	high	Only a small fraction correctly endorsed calling 911, so the maybe label is not a clean fit.
BMC-CASE-055	25735444	https://pubmed.ncbi.nlm.nih.gov/25735444/	Rectal cancer threatening or affecting the prostatic plane: is partial prostatectomy oncologically adequate?	maybe	yes:2/5,no:3/5,maybe:0/5	no	yes:5/5,no:0/5,maybe:0/5	yes	maybe_or_qualified_label_audit	supervisor_informed_standardized_20260507	User-reported supervisor-informed review followed by controlled-field standardization; not automated-only adjudication, not independent expert consensus, and not a new PubMedQA gold standard.	genuinely_uncertain	procedure_or_surgery	qualified_conclusion	maybe_unresolved	no	yes	supplement_only	moderate	Partial prostatectomy is described as safe only within a conditional treatment context.
BMC-CASE-056	26505821	https://pubmed.ncbi.nlm.nih.gov/26505821/	Are Biochemical Markers of Bone Turnover Representative of Bone Histomorphometry in 370 Postmenopausal Women?	maybe	yes:5/5,no:0/5,maybe:0/5	yes	yes:5/5,no:0/5,maybe:0/5	yes	maybe_or_qualified_label_audit	supervisor_informed_standardized_20260507	User-reported supervisor-informed review followed by controlled-field standardization; not automated-only adjudication, not independent expert consensus, and not a new PubMedQA gold standard.	genuinely_uncertain	diagnostic_or_biomarker	qualified_conclusion	maybe_unresolved	no	yes	supplement_only	high	Bone turnover markers are modestly associated but not perfectly representative of whole-bone turnover.
BMC-CASE-057	26606599	https://pubmed.ncbi.nlm.nih.gov/26606599/	Do Surrogates of Injury Severity Influence the Occurrence of Heterotopic Ossification in Fractures of the Acetabulum?	maybe	yes:1/5,no:4/5,maybe:0/5	no	yes:5/5,no:0/5,maybe:0/5	yes	maybe_or_qualified_label_audit	supervisor_informed_standardized_20260507	User-reported supervisor-informed review followed by controlled-field standardization; not automated-only adjudication, not independent expert consensus, and not a new PubMedQA gold standard.	label_ambiguous	observational_association	positive_association	maybe_unresolved	yes	yes	supplement_only	moderate	The abstract supports an association with injury-severity surrogates, but confounding and prophylaxis complicate the label.
BMC-CASE-058	26708803	https://pubmed.ncbi.nlm.nih.gov/26708803/	Treatment of contralateral hydrocele in neonatal testicular torsion: Is less more?	maybe	yes:5/5,no:0/5,maybe:0/5	yes	yes:5/5,no:0/5,maybe:0/5	yes	maybe_or_qualified_label_audit	supervisor_informed_standardized_20260507	User-reported supervisor-informed review followed by controlled-field standardization; not automated-only adjudication, not independent expert consensus, and not a new PubMedQA gold standard.	label_ambiguous	procedure_or_surgery	positive_association	maybe_unresolved	yes	yes	exclude	high	The abstract presents the scrotal-only approach as safe and effective, so the maybe label is not clean.
BMC-CASE-059	27146470	https://pubmed.ncbi.nlm.nih.gov/27146470/	Are tuberculosis patients adherent to prescribed treatments in China?	maybe	yes:4/5,no:1/5,maybe:0/5	yes	yes:5/5,no:0/5,maybe:0/5	yes	maybe_or_qualified_label_audit	supervisor_informed_standardized_20260507	User-reported supervisor-informed review followed by controlled-field standardization; not automated-only adjudication, not independent expert consensus, and not a new PubMedQA gold standard.	label_ambiguous	general_evidence	explicit_no_effect	maybe_unresolved	yes	yes	exclude	high	The abstract states that many TB patients did not adhere to standard treatment, supporting no more than maybe.
BMC-CASE-060	27184293	https://pubmed.ncbi.nlm.nih.gov/27184293/	Does microbial contamination influence the success of the hematopoietic cell transplantation outcomes?	maybe	yes:5/5,no:0/5,maybe:0/5	yes	yes:5/5,no:0/5,maybe:0/5	yes	maybe_or_qualified_label_audit	supervisor_informed_standardized_20260507	User-reported supervisor-informed review followed by controlled-field standardization; not automated-only adjudication, not independent expert consensus, and not a new PubMedQA gold standard.	genuinely_uncertain	prognosis	qualified_conclusion	maybe_unresolved	no	yes	supplement_only	moderate	Contaminated products may be safe on short-term outcomes, but the wording remains tentative.
